periodo,volumen,precio_unitario,mo_directa,mo_indirecta,materia_prima,gastos_directos,gastos_indirectos
2022-01,1000,150.00,30000,10000,40000,8000,5000
2022-02,1030,150.49,31000,10500,41000,8100,5100
2022-03,1074,150.98,32000,10800,43000,8200,5200
2022-04,1043,151.47,31500,10600,42000,8150,5150
2022-05,1086,151.97,33000,11000,44000,8300,5300
2022-06,1115,152.46,34000,11300,45000,8400,5400
2022-07,1144,152.96,35000,11500,46000,8500,5500
2022-08,1173,153.46,36000,11800,47000,8600,5600
2022-09,1117,153.97,34500,11400,45500,8450,5450
2022-10,1088,154.47,33500,11200,44500,8350,5350
2022-11,1194,154.98,37000,12000,48000,8700,5700
2022-12,1254,155.49,39000,12500,50000,9000,6000
2023-01,1026,156.00,32000,10700,42500,8200,5200
2023-02,1054,156.51,33000,11000,43500,8300,5300
2023-03,1096,157.03,34000,11300,45500,8400,5400
2023-04,1066,157.55,33500,11100,44500,8350,5350
2023-05,1113,158.07,35000,11600,46500,8500,5500
2023-06,1154,158.59,36500,12000,48000,8650,5650
2023-07,1181,159.12,37500,12300,49000,8750,5750
2023-08,1203,159.64,38500,12500,50000,8850,5850
2023-09,1149,160.17,36800,12100,48500,8700,5700
2023-10,1114,160.70,35800,11800,47500,8600,5600
2023-11,1228,161.23,39500,12800,51500,9100,6100
2023-12,1298,161.77,42000,13500,54000,9500,6500
